#.t	CODs	CODt	NH	PO	TSS	Water
#d	g/m3	g/m3	g/m3	g/m3	g/m3	m3/d
220.65484	200.54187	757.5599999999999	40.09421	8.1314493	341.728	105536.1048
220.65831	200.13938	757.5599999999999	39.982294	8.115129400000001	341.728	107793.336
220.66178	199.73689	757.5599999999999	39.870378	8.0988095	341.728	107492.1312
220.66525	199.3344	757.5599999999999	39.758462	8.082489600000001	341.728	108350.6208
220.66873	198.93191	751.14	39.646546	8.0661697	338.832	124470.3168
220.6722	198.52942	751.14	39.53463	8.0498498	338.832	150441.8232
220.67567	198.12693	751.14	39.422714	8.0335299	338.832	127424.7
220.67914	197.72444	751.14	39.310798	8.01721	338.832	103490.832
220.68262	197.32195	751.14	39.198882	8.000890099999999	338.832	101834.1096
220.68609	196.91946	751.14	39.086966	7.9845703	338.832	101603.34
220.68956	196.51697	751.14	38.97505	7.9682504	338.832	107386.0536
220.69303	196.11449	751.14	38.863134	7.9519305	338.832	106288.2528
220.6965	195.712	751.14	38.751218	7.9356106	338.832	136630.1736
220.69998	195.30951	751.14	38.639302	7.9192907	338.832	126127.476
220.70345	194.90702	751.14	38.527386	7.9029708	338.832	102258.6264
220.70692	194.50453	751.14	38.41547	7.8866509	338.832	106421.46
220.71039	194.10204	725.46	38.303555	7.870331	327.248	104996.004
220.71387	193.69955	725.46	38.191639	7.8540111	327.248	102120.9672
220.71734	193.29706	732.39296	38.079723	7.8376912	334.18096	101876.508
220.72081	192.89457	742.3929000000001	37.967807	7.8213713	344.1809	101228.5896
220.72428	192.49208	752.39283	37.855891	7.8050514	354.18083	101385.6864
220.72775	192.08959	762.39277	37.743975	7.7887315	364.18077	101707.6776
220.73123	191.6871	772.3927	37.632059	7.7724116	374.1807	100806.0528
220.7347	191.28461	782.39264	37.520143	7.7560917	384.18064	103367.8392
220.73817	190.88212	792.39258	37.408227	7.7397718	394.18058	102960.5472
220.74164	190.47963	802.39251	37.296311	7.7234519	404.18051	101244.7224
220.74512	190.07714	812.3924500000001	37.184395	7.707132	414.18045	104737.0032
220.74859	189.67465	822.39238	37.072479	7.6908121	424.18038	107892.3936
220.75206	196.6946	806.71232	38.409997	7.9754527	422.59632	103727.112
