#.t	.Temp	
#d	degC
0.8194444	12.567129
0.8229167	12.583333
0.8263889	12.567129
0.8298611	12.578704
0.8333333	12.592592
0.8368056	12.590277
0.8402778	12.569444
0.84375	12.564814
0.8472222	12.578703
0.8506944	12.594907
0.8541667	12.599537
0.8576389	12.581018
0.8611111	12.581018
0.8645833	12.608796
0.8680556	12.597222
0.8715278	12.601852
0.875	12.594907
0.8784722	12.599537
0.8819444	12.585648
0.8854167	12.604166
0.8888889	12.594907
0.8923611	12.601852
0.8958333	12.615741
0.8993056	12.622685
0.9027778	12.627315
0.90625	12.606481
0.9097222	12.611111
0.9131944	12.599537
0.9166667	12.611111
0.9201389	12.604166
0.9236111	12.613426
0.9270833	12.638889
0.9305556	12.604166
0.9340278	12.618056
0.9375	12.62037
0.9409722	12.62037
0.9444444	12.62963
0.9479167	12.608796
0.9513889	12.625
0.9548611	12.650463
0.9583333	12.648148
0.9618056	12.659722
0.9652778	12.662037
0.96875	12.643518
0.9722222	12.62963
0.9756944	12.643518
0.9791667	12.659722
0.9826389	12.638889
0.9861111	12.657407
0.9895833	12.659722
0.9930556	12.673611
0.9965278	12.662037
1	12.634259
1.0034722	12.655092
1.0069444	12.652777
1.0104167	12.692129
1.0138889	12.648148
1.0173611	12.673611
1.0208333	12.673611
1.0243056	12.67824
1.0277778	12.675925
1.03125	12.675925
1.0347222	12.68287
1.0381944	12.680555
1.0416667	12.666666
1.0451389	12.675925
1.0486111	12.666666
1.0520833	12.68287
1.0555556	12.673611
1.0590278	12.696759
1.0625	12.68287
1.0659722	12.68287
1.0694444	12.673611
1.0729167	12.685185
1.0763889	12.685185
1.0798611	12.694444
1.0833333	12.680555
1.0868056	12.717592
1.0902778	12.703703
1.09375	12.726851
1.0972222	12.706018
1.1006944	12.699074
1.1041667	12.701388
1.1076389	12.710648
1.1111111	12.717592
1.1145833	12.68287
1.1180556	12.708333
1.1215278	12.715277
1.125	12.719907
1.1284722	12.701388
1.1319444	12.710648
1.1354167	12.696759
1.1388889	12.722222
1.1423611	12.710648
1.1458333	12.692129
1.1493056	12.696759
1.1527778	12.706018
1.15625	12.6875
1.1597222	12.717592
1.1631944	12.733796
1.1666667	12.726851
1.1701389	12.729166
1.1736111	12.729166
1.1770833	12.74074
1.1805556	12.74074
1.1840278	12.759259
1.1875	12.74074
1.1909722	12.738426
1.1944444	12.74537
1.1979167	12.733796
1.2013889	12.74074
1.2048611	12.743055
1.2083333	12.759259
1.2118056	12.756944
1.2152778	12.74074
1.21875	12.747685
1.2222222	12.752315
1.2256944	12.763889
1.2291667	12.756944
1.2326389	12.75
1.2361111	12.756944
1.2395833	12.756944
1.2430556	12.759259
1.2465278	12.759259
1.25	12.759259
1.2534722	12.759259
