#.t	.Temp_air	
#d	degC
2.7777778	3
2.78125	3
2.7847222	3
2.7881944	3
2.7916667	3
2.7951389	3
2.7986111	3
2.8020833	3
2.8055556	3
2.8090278	3
2.8125	3
2.8159722	3
2.8194444	3
2.8229167	3
2.8263889	3
2.8298611	3
2.8333333	3
2.8368056	3
2.8402778	3
2.84375	3
2.8472222	3
2.8506944	3
2.8541667	3
2.8576389	3
2.8611111	3
2.8645833	3
2.8680556	3
2.8715278	3
2.875	3
2.8784722	3
2.8819444	3
2.8854167	3
2.8888889	3
2.8923611	3
2.8958333	3
2.8993056	3
2.9027778	3
2.90625	3
2.9097222	3
2.9131944	3
2.9166667	3
2.9201389	3
2.9236111	3
2.9270833	3
2.9305556	3
2.9340278	3
2.9375	3
2.9409722	3
2.9444444	3
2.9479167	3
2.9513889	3
2.9548611	3
2.9583333	3
2.9618056	3
2.9652778	3
2.96875	3
2.9722222	3
2.9756944	3
2.9791667	3
2.9826389	3
2.9861111	3
2.9895833	3
2.9930556	3
2.9965278	3
3	-1
3.0034722	-1
3.0069444	-1
3.0104167	-1
3.0138889	-1
3.0173611	-1
3.0208333	-1
3.0243056	-1
3.0277778	-1
3.03125	-1
3.0347222	-1
3.0381944	-1
3.0416667	-1
3.0451389	-1
3.0486111	-1
3.0520833	-1
3.0555556	-1
3.0590278	-1
3.0625	-1
3.0659722	-1
3.0694444	-1
3.0729167	-1
3.0763889	-1
3.0798611	-1
3.0833333	-1
3.0868056	-1
3.0902778	-1
3.09375	-1
3.0972222	-1
3.1006944	-1
3.1041667	-1
3.1076389	-1
3.1111111	-1
3.1145833	-1
3.1180556	-1
3.1215278	-1
3.125	-1
3.1284722	-1
3.1319444	-1
3.1354167	-1
3.1388889	-1
3.1423611	-1
3.1458333	-1
3.1493056	-1
3.1527778	-1
3.15625	-1
3.1597222	-1
3.1631944	-1
3.1666667	-1
3.1701389	-1
3.1736111	-1
3.1770833	-1
3.1805556	-1
3.1840278	-1
3.1875	-1
3.1909722	-1
3.1944444	-1
3.1979167	-1
3.2013889	-1
3.2048611	-1
3.2083333	-1
3.2118056	-1
3.2152778	-1
3.21875	-1
3.2222222	-1
3.2256944	-1
3.2291667	-1
3.2326389	-1
3.2361111	-1
3.2395833	-1
3.2430556	-1
3.2465278	-1
3.25	-1
3.2534722	-1
3.2569444	-1
3.2604167	-1
3.2638889	-1
3.2673611	-1
3.2708333	-1
3.2743056	-1
3.2777778	-1
3.28125	-1
3.2847222	-1
3.2881944	-1
3.2916667	-1
3.2951389	-1
3.2986111	-1
3.3020833	-1
3.3055556	-1
3.3090278	-1
3.3125	-1
3.3159722	-1
3.3194444	-1
3.3229167	-1
3.3263889	-1
3.3298611	-1
3.3333333	-1
3.3368056	-1
3.3402778	-1
3.34375	-1
3.3472222	-1
3.3506944	-1
3.3541667	-1
3.3576389	-1
3.3611111	-1
3.3645833	-1
3.3680556	-1
3.3715278	-1
3.375	-1
3.3784722	-1
3.3819444	-1
3.3854167	-1
3.3888889	-1
3.3923611	-1
3.3958333	-1
3.3993056	-1
3.4027778	-1
3.40625	-1
3.4097222	-1
3.4131944	-1
3.4166667	-1
3.4201389	-1
3.4236111	-1
3.4270833	-1
3.4305556	-1
3.4340278	-1
3.4375	-1
3.4409722	-1
3.4444444	-1
3.4479167	-1
3.4513889	-1
3.4548611	-1
3.4583333	-1
3.4618056	-1
3.4652778	-1
3.46875	-1
3.4722222	-1
3.4756944	-1
3.4791667	-1
3.4826389	-1
3.4861111	-1
3.4895833	-1
3.4930556	-1
3.4965278	-1
3.5	-1
3.5034722	-1
3.5069444	-1
3.5104167	-1
3.5138889	-1
3.5173611	-1
3.5208333	-1
3.5243056	-1
3.5277778	-1
3.53125	-1
