#.t	Pressure
#d	hPa
0.9305556	103500
0.9340278	103500
0.9375	103500
0.9409722	103500
0.9444444	103500
0.9479167	103500
0.9513889	103500
0.9548611	103500
0.9583333	103500
0.9618056	103500
0.9652778	103500
0.96875	103500
0.9722222	103500
0.9756944	103500
0.9791667	103500
0.9826389	103500
0.9861111	103500
0.9895833	103500
0.9930556	103500
0.9965278	103500
1	103500
1.0034722	103500
1.0069444	103500
1.0104167	103500
1.0138889	103500
1.0173611	103500
1.0208333	103500
1.0243056	103500
1.0277778	103500
1.03125	103500
1.0347222	103500
1.0381944	103500
1.0416667	103500
1.0451389	103500
1.0486111	103500
1.0520833	103500
1.0555556	103500
1.0590278	103500
1.0625	103500
1.0659722	103500
1.0694444	103500
1.0729167	103500
1.0763889	103500
1.0798611	103500
1.0833333	103500
1.0868056	103500
1.0902778	103500
1.09375	103500
1.0972222	103500
1.1006944	103500
1.1041667	103500
1.1076389	103500
1.1111111	103500
1.1145833	103500
1.1180556	103500
1.1215278	103500
1.125	103500
1.1284722	103500
1.1319444	103500
1.1354167	103500
1.1388889	103500
1.1423611	103500
1.1458333	103500
1.1493056	103500
1.1527778	103500
1.15625	103500
1.1597222	103500
1.1631944	103500
1.1666667	103500
1.1701389	103500
1.1736111	103500
1.1770833	103500
1.1805556	103500
1.1840278	103500
1.1875	103500
1.1909722	103500
1.1944444	103500
1.1979167	103500
1.2013889	103500
1.2048611	103500
1.2083333	103500
1.2118056	103500
1.2152778	103500
1.21875	103500
1.2222222	103500
1.2256944	103500
1.2291667	103500
1.2326389	103500
1.2361111	103500
1.2395833	103500
1.2430556	103500
1.2465278	103500
1.25	103500
1.2534722	103500
1.2569444	103500
1.2604167	103500
1.2638889	103500
1.2673611	103500
1.2708333	103500
1.2743056	103500
1.2777778	103500
1.28125	103500
1.2847222	103500
1.2881944	103500
1.2916667	103500
1.2951389	103500
1.2986111	103500
1.3020833	103500
1.3055556	103500
1.3090278	103500
1.3125	103500
1.3159722	103500
1.3194444	103500
1.3229167	103500
1.3263889	103500
1.3298611	103500
1.3333333	103500
