#.t	.Inflow(H2O)	.Inflow(S_A)	.Inflow(S_ALK)	.Inflow(S_Al)	.Inflow(S_F)	.Inflow(S_I)	.Inflow(S_N2)	.Inflow(S_NH)	.Inflow(S_NO)	.Inflow(S_O)	.Inflow(S_PO)	.Inflow(X_AUT)	.Inflow(X_H)	.Inflow(X_I)	.Inflow(X_I_i)	.Inflow(X_MEOH)	.Inflow(X_MEP)	.Inflow(X_PAO)	.Inflow(X_PHA)	.Inflow(X_PP)	.Inflow(X_S)	.Inflow(X_TSS)	.Influent_Load(H2O)	.Influent_Load(S_A)	.Influent_Load(S_ALK)	.Influent_Load(S_Al)	.Influent_Load(S_F)	.Influent_Load(S_I)	.Influent_Load(S_N2)	.Influent_Load(S_NH)	.Influent_Load(S_NO)	.Influent_Load(S_O)	.Influent_Load(S_PO)	.Influent_Load(X_AUT)	.Influent_Load(X_H)	.Influent_Load(X_I)	.Influent_Load(X_I_i)	.Influent_Load(X_MEOH)	.Influent_Load(X_MEP)	.Influent_Load(X_PAO)	.Influent_Load(X_PHA)	.Influent_Load(X_PP)	.Influent_Load(X_S)	.Influent_Load(X_TSS)
#d																																												
220.50901	99731.4528	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-99731452800	-5558756.9175768	-0	-0	-8338135.3763652	-8338135.3763652	-0	-4451513.395728	-0	-0	-901572.333312	-0	-0	-14940550.5320864	-8260317.41703168	-0	-0	-0	-0	-0	-33254773.7649664	-31770451.603968
220.51248	122766.2904	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-122766290400	-6842655.4195974	-0	-0	-10263983.1293961	-10263983.1293961	-0	-5479673.372004	-0	-0	-1109807.265216	-0	-0	-18391349.106648	-10168191.6621542	-0	-0	-0	-0	-0	-40935583.4954424	-39108429.469824
220.51595	119758.0728	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-119758072800	-6674985.6431718	-0	-0	-10012478.4647577	-10012478.4647577	-0	-5345401.579428	-0	-0	-1082612.978112	-0	-0	-17940694.6159886	-9919034.23450368	-0	-0	-0	-0	-0	-39932513.8226842	-38150131.671168
220.51942	117390.192	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-117390192000	-6543006.479052	-0	-0	-9814509.718578	-9814509.718578	-0	-5239711.21992	-0	-0	-1061207.33568	-0	-0	-17585967.5789995	-9722913.0865152	-0	-0	-0	-0	-0	-39142960.0951925	-37395819.56352
220.52289	115658.724	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-115658724000	-6446499.214269	-0	-0	-9669748.8214035	-9669748.8214035	-0	-5162427.14574	-0	-0	-1045554.86496	-0	-0	-17326580.1498344	-9579503.2105344	-0	-0	-0	-0	-0	-38565613.8818896	-36844243.11744
220.52637	86501.5488	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-86501548800	-4821358.4508528	-0	-0	-7232037.6762792	-7232037.6762792	-0	-3860996.630688	-0	-0	-781974.001152	-0	-0	-12958607.5873361	-7164542.68028928	-0	-0	-0	-0	-0	-28843352.3718127	-27555933.385728
220.52984	97735.1256	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-97735125600	-5447487.1293486	-0	-0	-8171230.6940229	-8171230.6940229	-0	-4362407.331156	-0	-0	-883525.535424	-0	-0	-14641485.1262109	-8094970.41889536	-0	-0	-0	-0	-0	-32589112.0551147	-31134501.611136
220.53331	117721.4496	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-117721449600	-6561469.8667176	-0	-0	-9842204.8000764	-9842204.8000764	-0	-5254496.902896	-0	-0	-1064201.904384	-0	-0	-17635592.5546014	-9750349.69598976	-0	-0	-0	-0	-0	-39253415.6860482	-37501344.984576
220.53678	117230.196	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-117230196000	-6534088.742001	-0	-0	-9801133.1130015	-9801133.1130015	-0	-5232569.79846	-0	-0	-1059760.97184	-0	-0	-17561998.9286308	-9709661.3218176	-0	-0	-0	-0	-0	-39089610.5185652	-37344851.23776
220.54026	114979.4976	55.73725	0	0	83.605875	83.605875	0	44.635	0	0	9.04	0	0	149.80781	82.8256	0	0	0	0	0	333.44319	318.56	-114979497600	-6408641.0026056	-0	-0	-9612961.5039084	-9612961.5039084	-0	-5132109.875376	-0	-0	-1039414.658304	-0	-0	-17224826.7303563	-9523245.87641856	-0	-0	-0	-0	-0	-38339130.4643413	-36627868.755456
220.54373	84511.9728	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-84511972800	-4585408.364196	-0	-0	-6878112.546294	-6878112.546294	-0	-3672045.21816	-0	-0	-743705.36064	-0	-0	-13656602.3790514	-7317925.52954112	-0	-0	-0	-0	-0	-30396953.6824046	-28145867.421312
220.5472	95717.8848	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-95717884800	-5193413.134536	-0	-0	-7790119.701804	-7790119.701804	-0	-4158942.09456	-0	-0	-842317.38624	-0	-0	-15467407.1610058	-8288249.93198592	-0	-0	-0	-0	-0	-34427454.6486902	-31877884.353792
220.55067	115245.3432	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-115245343200	-6252924.208674	-0	-0	-9379386.313011	-9379386.313011	-0	-5007410.16204	-0	-0	-1014159.02016	-0	-0	-18622921.4154578	-9979140.36582528	-0	-0	-0	-0	-0	-41451018.6344062	-38381309.099328
220.55414	82891.632	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-82891632000	-4497492.72324	-0	-0	-6746239.08486	-6746239.08486	-0	-3601641.4104	-0	-0	-729446.3616	-0	-0	-13394765.5139184	-7177619.5715328	-0	-0	-0	-0	-0	-29814155.4987216	-27606229.12128
220.55762	61919.34	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-61919340000	-3359588.59005	-0	-0	-5039382.885075	-5039382.885075	-0	-2690395.323	-0	-0	-544890.192	-0	-0	-10005775.252158	-5361620.418336	-0	-0	-0	-0	-0	-22270919.109642	-20621616.9936
220.56109	96674.3592	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-96674359200	-5245309.044294	-0	-0	-7867963.566441	-7867963.566441	-0	-4200500.90724	-0	-0	-850734.36096	-0	-0	-15621967.398257	-8371071.43287168	-0	-0	-0	-0	-0	-34771475.821927	-32196428.587968
220.56456	117701.16	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-117701160000	-6386170.6887	-0	-0	-9579256.03305	-9579256.03305	-0	-5114115.402	-0	-0	-1035770.208	-0	-0	-19019765.938692	-10191790.524864	-0	-0	-0	-0	-0	-42334317.734508	-39199194.3264
220.56803	85694.7696	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-85694769600	-4649583.961572	-0	-0	-6974375.942358	-6974375.942358	-0	-3723437.73912	-0	-0	-754113.97248	-0	-0	-13847734.8903115	-7420344.37757184	-0	-0	-0	-0	-0	-30822377.6590805	-28539786.067584
220.57151	97200.3432	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-97200343200	-5273847.621174	-0	-0	-7910771.431761	-7910771.431761	-0	-4223354.91204	-0	-0	-855363.02016	-0	-0	-15706963.0989578	-8416616.59782528	-0	-0	-0	-0	-0	-34960659.8009062	-32371602.299328
220.57498	116644.8192	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-116644819200	-6328856.277744	-0	-0	-9493284.416616	-9493284.416616	-0	-5068217.39424	-0	-0	-1026474.40896	-0	-0	-18849067.920359	-10100321.5524557	-0	-0	-0	-0	-0	-41954376.984025	-38847390.586368
220.57845	84897.4344	54.2575	0	0	81.38625	81.38625	0	43.45	0	0	8.8	0	0	161.5937	86.5904	0	0	0	0	0	359.6763	333.04	-84897434400	-4606322.546958	-0	-0	-6909483.820437	-6909483.820437	-0	-3688793.52468	-0	-0	-747097.42272	-0	-0	-13718890.5452033	-7351302.80366976	-0	-0	-0	-0	-0	-30535595.0844847	-28274241.552576
