.ASU_5.NH4,.ASU_5.NO3,.out_1.TSS
7.3716217,5.5994612,11.085096
7.3745344,5.5983099,11.086171
7.377445,5.5971608,11.087195
7.3803522,5.5960141,11.088171
7.3832551,5.5948703,11.089097
7.3861522,5.5937297,11.089974
7.3890426,5.5925927,11.090802
7.3919248,5.5914597,11.09158
7.3947978,5.5903311,11.09231
7.3976602,5.5892073,11.09299
7.4005107,5.5880886,11.093621
7.4033481,5.5869755,11.094204
7.406171,5.5858683,11.094737
7.4089783,5.5847675,11.095222
7.4117685,5.5836733,11.095659
7.4145404,5.5825863,11.096048
7.4172926,5.5815066,11.096389
7.4200239,5.5804348,11.096682
7.422733,5.5793711,11.096929
7.4254185,5.578316,11.097128
7.4280793,5.5772696,11.09728
7.430714,5.5762325,11.097386
7.4333215,5.5752049,11.097446
7.4359004,5.574187,11.097461
7.4384495,5.5731793,11.09743
7.4409677,5.5721821,11.097355
7.4434538,5.5711955,11.097235
7.4459065,5.5702198,11.097071
7.4483249,5.5692555,11.096864
7.4507077,5.5683026,11.096614
7.4530538,5.5673614,11.096321
7.4553622,5.5664322,11.095986
7.4576318,5.5655151,11.09561
7.4581959,5.5652867,11.095509
7.4587093,5.5650785,11.095415
7.459955,5.5645726,11.095174
7.461209,5.5640619,11.094914
7.4626787,5.5634617,11.094585
7.4643518,5.5627759,11.094178
7.4662356,5.5620001,11.093672
7.468251,5.5611656,11.093074
7.4702937,5.5603146,11.092401
7.4723109,5.5594683,11.091666
7.4742892,5.558632,11.090872
7.4762249,5.5578071,11.09002
7.4781159,5.5569941,11.08911
7.4799602,5.5561935,11.088141
7.4817555,5.5554061,11.087114
7.4835001,5.5546322,11.08603
7.4851918,5.5538726,11.084888
7.486829,5.5531277,11.08369
7.4884098,5.5523979,11.082435
7.4899328,5.5516837,11.081126
7.4913964,5.5509855,11.079761
7.4927992,5.5503036,11.078342
7.49414,5.5496383,11.07687
7.4954176,5.5489899,11.075346
7.4966307,5.5483586,11.073769
7.4977785,5.5477447,11.072141
7.4988599,5.5471483,11.070462
7.4998741,5.5465697,11.068733
7.5008201,5.5460089,11.066955
7.5016973,5.5454662,11.065128
7.5025049,5.5449415,11.063254
7.5032421,5.5444351,11.061332
7.5039085,5.543947,11.059364
7.5045033,5.5434773,11.057351
7.5050261,5.543026,11.055292
7.5054763,5.5425932,11.053188
7.5058535,5.5421788,11.05104
7.5061572,5.541783,11.04885
7.506387,5.5414058,11.046616
7.5065425,5.541047,11.044341
7.5066235,5.5407069,11.042024
7.5066295,5.5403853,11.039667
7.5065603,5.5400822,11.037269
7.5065222,5.5399892,11.036494
7.5064266,5.5398145,11.034982
7.5062937,5.5396372,11.033365
7.5061141,5.5394549,11.031606
7.5058461,5.5392465,11.029457
7.5054195,5.538998,11.026658
7.5048931,5.5387686,11.023786
7.5043282,5.5385785,11.021129
7.5036814,5.5384067,11.018435
7.5029502,5.538253,11.015699
7.5021345,5.5381178,11.012927
7.5012336,5.5380014,11.010119
7.5002469,5.5379038,11.007275
7.4991738,5.5378251,11.004398
7.4980137,5.5377654,11.001488
7.4967662,5.5377247,10.998546
7.4954309,5.5377031,10.995573
7.4940074,5.5377007,10.992569
7.4924955,5.5377173,10.989535
7.4908949,5.5377531,10.986473
7.4892054,5.5378079,10.983382
7.4874268,5.5378818,10.980263
7.4855591,5.5379747,10.977117
7.4836021,5.5380866,10.973945
7.4815558,5.5382174,10.970748
7.4794202,5.5383671,10.967525
7.4771953,5.5385356,10.964278
7.4748812,5.5387229,10.961008
7.4724779,5.5389288,10.957714
7.4699855,5.5391533,10.954397
7.4674042,5.5393963,10.951059
7.4647341,5.5396577,10.947699
7.4619754,5.5399374,10.944318
7.4591282,5.5402354,10.940916
7.4561929,5.5405515,10.937495
7.4531695,5.5408857,10.934054
7.4500585,5.5412378,10.930594
7.44686,5.5416077,10.927115
7.4435744,5.5419954,10.923619
7.4426978,5.5421001,10.922698
7.4414917,5.5422449,10.92144
7.439251,5.5425164,10.919126
7.4368197,5.5428142,10.916647
7.4341897,5.5431402,10.914
7.4311946,5.5435158,10.911028
7.4278573,5.5439396,10.907763
7.4243029,5.5443966,10.904338
7.4206518,5.5448716,10.900871
7.4169449,5.5453594,10.897403
7.4131874,5.5458591,10.893935
7.4093786,5.5463708,10.890467
7.4055174,5.5468944,10.886997
7.4016031,5.54743,10.883524
7.3976351,5.5479776,10.880046
7.3936129,5.5485372,10.876563
7.3895362,5.5491088,10.873074
7.3854048,5.5496923,10.869578
7.3812185,5.5502878,10.866075
7.3769772,5.5508952,10.862564
7.3726809,5.5515145,10.859045
7.3683297,5.5521457,10.855518
7.3639235,5.5527886,10.851982
7.3594625,5.5534433,10.848437
7.3549468,5.5541098,10.844883
7.3503766,5.5547879,10.84132
7.3457521,5.5554776,10.837749
7.3410735,5.556179,10.834167
7.336341,5.5568918,10.830577
7.3315549,5.5576162,10.826978
7.3267155,5.5583519,10.823369
7.321823,5.5590991,10.819751
7.3168778,5.5598575,10.816124
7.3118802,5.5606272,10.812488
7.3068304,5.5614082,10.808842
7.3017289,5.5622002,10.805188
7.2965759,5.5630034,10.801525
7.2913719,5.5638176,10.797852
7.286117,5.5646428,10.794172
7.2808118,5.5654789,10.790482
7.2754565,5.5663259,10.786784
7.2730743,5.5667037,10.785147
7.2707985,5.567065,10.783588
7.2687831,5.5673855,10.782211
7.2658917,5.567846,10.780241
7.2628191,5.5683362,10.778155
7.2590237,5.5689429,10.775586
7.2543886,5.5696858,10.772461
7.2487853,5.5705865,10.7687
7.2426972,5.5715684,10.764632
7.2365084,5.57257,10.760517
7.2302035,5.5735938,10.756343
7.2237485,5.5746456,10.752088
7.2171361,5.5757268,10.747749
7.2103668,5.5768374,10.743327
7.203444,5.5779772,10.738824
7.1963722,5.5791456,10.734243
7.1891564,5.5803421,10.729589
7.181802,5.5815658,10.724866
7.1743143,5.5828163,10.720078
7.1666988,5.5840926,10.715228
7.1589609,5.5853942,10.71032
7.1511058,5.5867203,10.705358
7.1431384,5.5880702,10.700346
7.1350636,5.5894433,10.695286
7.1268858,5.590839,10.690181
7.1186094,5.5922567,10.685035
7.1102384,5.5936959,10.679849
7.1017766,5.595156,10.674627
7.0932274,5.5966367,10.66937
7.0845941,5.5981374,10.664081
7.0758799,5.5996578,10.658761
7.0670874,5.6011975,10.653412
7.0582195,5.6027562,10.648035
7.0492785,5.6043335,10.642633
7.0402668,5.6059292,10.637205
7.0311865,5.6075431,10.631754
7.0220398,5.6091748,10.62628
7.0128284,5.6108242,10.620785
7.0103834,5.611263,10.61933
7.0074569,5.6117889,10.61759
7.0037922,5.6124482,10.615417
6.9997767,5.6131717,10.613045
6.9952072,5.6139965,10.610358
6.9899286,5.614951,10.607275
6.9836668,5.6160859,10.603646
6.9759375,5.6174905,10.599213
6.9655222,5.6193896,10.593322
6.9548358,5.6213456,10.587377
6.9425615,5.623601,10.580669
6.928158,5.6262592,10.57296
6.9121735,5.6292226,10.564603
6.8958392,5.6322646,10.556269
6.8885889,5.633619,10.552634
6.8818445,5.6348812,10.549288
6.8683183,5.6374187,10.542677
6.8543497,5.6400476,10.535984
6.8414774,5.6424775,10.529934
6.8289187,5.6448546,10.524138
6.8160248,5.6473014,10.518293
6.8049523,5.6494077,10.513357
6.7934241,5.6516054,10.508298
6.7799038,5.654189,10.502466
6.7667618,5.6567064,10.4969
6.7540856,5.6591402,10.491625
6.7412663,5.6616071,10.486382
6.7282911,5.6641095,10.481167
6.7153311,5.6666146,10.476047
6.7029983,5.6690036,10.471257
6.6990682,5.669766,10.469747
6.6951983,5.6705171,10.468268
6.6929323,5.6709572,10.467406
6.6901749,5.6714929,10.46636
6.6876782,5.6719782,10.465415
6.6823138,5.6730216,10.463396
6.6768465,5.674086,10.46135
6.6705801,5.6753071,10.459017
6.6633206,5.6767235,10.456331
6.6546081,5.6784256,10.453127
6.653253,5.6786906,10.452631
6.6517249,5.6789895,10.452072
6.6501411,5.6792994,10.451493
6.6422118,5.6808519,10.448605
6.6281561,5.6836095,10.443525
6.6135367,5.6864851,10.438293
6.5972905,5.6896901,10.432538
6.5810816,5.6928981,10.426857
6.5661668,5.6958593,10.421683
6.5521499,5.6986509,10.416864
6.5486308,5.6993531,10.415661
6.5468649,5.6997057,10.415059
6.5456043,5.6999575,10.414629
6.5439951,5.7002789,10.41408
6.5359418,5.7018896,10.411345
6.5215486,5.7047757,10.40649
6.5079913,5.707503,10.401956
6.4947682,5.7101717,10.397569
6.4815091,5.7128562,10.393205
6.4682657,5.7155465,10.388879
6.4550623,5.7182378,10.384599
6.4513065,5.719005,10.383387
6.449667,5.7193402,10.382859
6.448524,5.7195739,10.382491
6.4474755,5.7197884,10.382154
6.4422309,5.7208621,10.38047
6.4279632,5.7237907,10.375914
6.4147445,5.7265142,10.371724
6.4017293,5.7292054,10.367628
6.3885907,5.7319321,10.363521
6.3754374,5.7346721,10.359438
6.362295,5.7374203,10.355386
6.3491523,5.7401792,10.35136
6.3360062,5.7429496,10.347359
6.3339594,5.743382,10.346739
6.3320473,5.7437861,10.346159
6.3279119,5.744661,10.344906
6.3237011,5.7455529,10.343628
6.3189673,5.7465571,10.342186
6.3136562,5.7476855,10.340561
6.3075993,5.7489747,10.338694
6.3005922,5.7504693,10.336513
6.2923967,5.7522217,10.33393
6.2829175,5.7542546,10.330899
6.2725935,5.7564763,10.327539
6.262146,5.7587329,10.324077
6.2518426,5.7609669,10.320601
6.2416793,5.7631793,10.317111
6.231627,5.7653764,10.313599
6.2216662,5.7675625,10.310062
6.2117837,5.7697406,10.306495
6.2019694,5.7719131,10.302898
6.1922153,5.7740818,10.299267
6.1825149,5.7762483,10.295602
6.1728624,5.778414,10.291902
6.1632533,5.7805801,10.288165
6.1613926,5.7810007,10.287436
6.1594393,5.7814427,10.286668
6.1576636,5.7818448,10.285968
6.1487826,5.7838615,10.28244
6.1391697,5.7860546,10.278572
6.1296876,5.7882286,10.274705
6.1202295,5.7904079,10.270798
6.1107985,5.7925918,10.266853
6.1013922,5.7947811,10.262868
6.0920093,5.7969762,10.258845
6.0826483,5.7991775,10.254783
6.073308,5.8013853,10.250682
6.0639873,5.8036002,10.246542
6.0546852,5.8058223,10.242363
6.0454008,5.8080521,10.238145
6.0361334,5.8102898,10.233888
6.0268822,5.8125356,10.229593
6.0176467,5.8147898,10.225258
6.0084261,5.8170526,10.220886
5.99922,5.8193243,10.216475
5.9900278,5.821605,10.212025
5.9808491,5.823895,10.207538
5.9716835,5.8261945,10.203013
5.9680526,5.8271089,10.201208
5.9645884,5.8279832,10.199479
5.9604645,5.8290265,10.197414
5.9560457,5.8301472,10.195191
5.950605,5.8315313,10.192443
5.9444305,5.8331076,10.189311
5.9370192,5.8350076,10.185532
5.9271299,5.8375563,10.180461
5.9180046,5.8399218,10.175753
5.9085838,5.8423779,10.170867
5.8993616,5.844796,10.166058
5.8901461,5.847226,10.161228
5.8809305,5.8496698,10.156373
5.8717135,5.8521278,10.151493
5.8624964,5.8545995,10.146589
5.8532802,5.857085,10.141661
5.8440655,5.8595838,10.136709
5.8348528,5.8620961,10.131735
5.8256422,5.8646217,10.126738
5.8164342,5.8671606,10.121719
5.8072287,5.8697128,10.116678
5.7980261,5.8722782,10.111614
5.7888265,5.8748568,10.106529
5.77963,5.8774485,10.101422
5.7704367,5.8800535,10.096294
5.7612467,5.8826716,10.091145
5.7520601,5.8853028,10.085976
5.7428771,5.8879471,10.080785
5.7336975,5.8906046,10.075574
5.7245215,5.8932752,10.070343
5.715349,5.8959589,10.065091
5.7061802,5.8986558,10.05982
5.6970149,5.9013658,10.054529
5.6878532,5.9040889,10.049219
5.678695,5.9068252,10.04389
5.6695402,5.9095746,10.038541
5.660389,5.9123373,10.033173
5.6512411,5.9151131,10.027787
5.6420966,5.9179022,10.022382
5.6329553,5.9207046,10.016959
5.6238172,5.9235202,10.011517
5.6146823,5.9263491,10.006058
5.6055504,5.9291913,10.000581
5.5964214,5.9320468,9.9950861
5.5925379,5.9332659,9.9927428
5.5885883,5.9345084,9.990356
5.5854217,5.9355065,9.9884398
5.5825103,5.9364257,9.9866763
5.5764382,5.9383475,9.9829934
5.5701628,5.9403402,9.9791814
5.5627134,5.9427145,9.9746502
5.5532995,5.9457285,9.9689163
5.5426295,5.9491632,9.9624088
5.5329744,5.9522879,9.9565135
5.5234706,5.9553794,9.950705
5.5139318,5.9584977,9.94487
5.504352,5.9616451,9.9390052
5.4947319,5.9648215,9.933111
5.4850758,5.9680255,9.9271904
5.4753883,5.9712559,9.9212462
5.4656729,5.9745115,9.9152807
5.455933,5.9777913,9.9092961
5.4461715,5.9810944,9.9032944
5.4363909,5.98442,9.8972773
5.4265936,5.9877673,9.8912463
5.4167816,5.9911357,9.8852027
5.4069566,5.9945246,9.879148
5.3971203,5.9979335,9.8730832
5.387274,6.0013618,9.8670093
5.3774192,6.0048093,9.8609274
5.3675567,6.0082754,9.8548383
5.3576876,6.0117599,9.8487426
5.3478127,6.0152624,9.8426412
5.3379326,6.0187827,9.8365346
5.3280481,6.0223206,9.8304235
5.3181596,6.0258758,9.8243082
5.3082675,6.0294482,9.8181893
5.2983722,6.0330377,9.8120671
5.2884741,6.036644,9.8059422
5.2785733,6.0402672,9.7998147
5.2686701,6.043907,9.7936851
5.2587646,6.0475635,9.7875536
5.248857,6.0512365,9.7814205
5.2389473,6.054926,9.775286
5.2290357,6.0586319,9.7691505
5.2191221,6.0623542,9.763014
5.2092066,6.0660928,9.7568768
5.2046814,6.0678042,9.7540762
5.2005733,6.0693607,9.7515341
5.1936554,6.0719878,9.7472547
5.1861269,6.0748554,9.7426004
5.1765206,6.0785274,9.7366671
5.1661839,6.0824949,9.7302906
5.1556178,6.0865677,9.723782
5.1454661,6.0904973,9.717538
5.135309,6.0944451,9.7113002
5.1251303,6.0984174,9.7050589
5.1149282,6.1024149,9.6988132
5.1047051,6.1064368,9.6925648
5.0944634,6.1104821,9.6863153
5.0842051,6.1145501,9.6800662
5.0739318,6.1186401,9.6738185
5.0636449,6.1227517,9.6675732
5.0533454,6.1268843,9.6613311
5.0430344,6.1310376,9.655093
5.0327126,6.1352113,9.6488594
5.0223809,6.1394049,9.6426309
5.0120399,6.1436184,9.6364081
5.00169,6.1478513,9.6301913
4.9913319,6.1521035,9.623981
4.9809658,6.1563749,9.6177775
4.9705921,6.1606652,9.6115811
