#.t	NH4	PO4	Q	CODt	CODs	TSS
#d	g/m3	g/m3	m3/h	g/m3	g/m3	g/m3
221.03678	41.65039063	8.66738683	0	0	0	0
221.04025	41.74804688	8.677179305	0	0	0	0
221.04372	41.84570313	8.687	0	0	0	0
221.0472	41.74804688	8.705	0	0	0	0
221.05067	41.7073555	8.635	0	0	0	0
221.05414	41.61376953	8.604695777	0	0	0	0
221.05761	41.64428711	8.574304223	0	0	0	0
221.06109	41.63818359	8.544	0	0	0	0
221.06456	41.40625	8.5255	0	0	0	0
221.06803	41.38183594	8.507	0	0	0	0
221.0715	41.28417969	8.522	0	0	0	0
221.07497	41.40625	8.506978417	0	0	0	0
221.07845	41.50390625	8.492	0	0	0	0
221.08192	41.50390625	8.591	0	0	0	0
221.08539	41.62597656	8.416	0	0	0	0
221.08886	41.69921875	8.423848369	0	0	0	0
221.09234	41.50390625	8.431674184	0	0	0	0
221.09581	41.95963669	8.4395	0	0	0	0
221.09928	41.97998047	8.447325816	0	0	0	0
221.10275	41.96777344	8.455151631	0	0	0	0
221.10622	42.12646484	8.463	0	0	0	0
221.1097	42.26074219	8.415333333	0	0	0	0
221.11317	42.26074219	8.367666667	0	0	0	0
221.11664	42.33398438	8.32	0	0	0	0
221.12011	42.30957031	8.322671785	0	0	0	0
221.12358	42.40722656	8.325335893	0	0	0	0
221.12706	42.54150391	8.328	0	0	0	0
221.13053	42.29125977	8.331	0	0	0	0
221.134	42.26074219	8.273	0	0	0	0
221.13747	42.43774414	8.247	0	0	0	0
221.14095	42.44384766	8.243	0	0	0	0
221.14442	42.30957031	8.224842055	0	0	0	0
221.14789	42.3828125	8.206684109	0	0	0	0
221.15136	42.3828125	8.188473836	0	0	0	0
221.15483	42.23632813	8.170315891	0	0	0	0
221.15831	42.30957031	8.152157945	0	0	0	0
221.16178	42.29736328	8.134	0	0	0	0
221.16525	42.11425781	8.151982726	0	0	0	0
221.16872	41.91894531	8.170017274	0	0	0	0
221.1722	42.01660156	8.188	0	0	0	0
221.17567	41.50390625	8.1892491	0	0	0	0
221.17914	41.74804688	8.1904982	0	0	0	0
221.18261	41.74804688	8.1917509	0	0	0	0
221.18608	41.89453125	8.193	0	0	0	0
221.18956	41.74804688	8.1942491	0	0	0	0
221.19303	41.72363281	8.1954982	0	0	0	0
221.1965	41.72363281	8.1967473	0	0	0	0
221.19997	41.6015625	8.198	0	0	0	0
221.20345	41.55273438	8.1992491	0	0	0	0
221.20692	41.55273438	8.2004982	0	0	0	0
221.21039	41.55273438	8.2017473	0	0	0	0
221.21386	41.54459763	8.203	0	0	0	0
221.21733	41.52832031	8.207	0	0	0	0
221.22081	41.54459763	8.185	0	0	0	0
