#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
221.40483	2641.5015	513.6	179.543	231.68	35.945	7.28
221.40831	2666.0339	513.6	179.543	231.68	35.945	7.28
221.41178	2781.1533	513.6	179.543	231.68	35.945	7.28
221.41525	3757.2894	513.6	179.543	231.68	35.945	7.28
221.41872	4165.2608	571.38	201.246	257.744	40.29	8.16
221.42219	3923.9016	571.38	201.246	257.744	40.29	8.16
221.42567	2631.723	571.38	201.246	257.744	40.29	8.16
221.42914	3063.3693	571.38	201.246	257.744	40.29	8.16
221.43261	3943.4243	571.38	201.246	257.744	40.29	8.16
221.43608	3578.2862	571.38	201.246	257.744	40.29	8.16
221.43956	3143.2392	571.38	201.246	257.744	40.29	8.16
221.44303	3075.9756	571.38	201.246	257.744	40.29	8.16
221.4465	3215.2587	571.38	201.246	257.744	40.29	8.16
221.44997	3805.0863	571.38	201.246	257.744	40.29	8.16
221.45344	4169.6414	571.38	201.246	257.744	40.29	8.16
221.45692	4076.9592	571.38	201.246	257.744	40.29	8.16
221.46039	3133.7149	642	215.057	289.6	43.055	8.72
221.46386	3423.1621	642	215.057	289.6	43.055	8.72
221.46733	4081.1041	642	215.057	289.6	43.055	8.72
221.4708	4091.6157	642	215.057	289.6	43.055	8.72
221.47428	2798.0529	642	215.057	289.6	43.055	8.72
221.47775	3260.4571	642	215.057	289.6	43.055	8.72
221.48122	4193.655	642	215.057	289.6	43.055	8.72
221.48469	2934.0334	642	215.057	289.6	43.055	8.72
221.48817	3376.6593	642	215.057	289.6	43.055	8.72
221.49164	4252.4174	642	215.057	289.6	43.055	8.72
221.49511	2991.8584	642	215.057	289.6	43.055	8.72
221.49858	2877.0911	642	215.057	289.6	43.055	8.72
221.50205	3906.2017	706.2	222.949	318.56	44.635	9.04
221.50553	4218.204	706.2	222.949	318.56	44.635	9.04
221.509	3096.9666	706.2	222.949	318.56	44.635	9.04
221.51247	3643.5515	706.2	222.949	318.56	44.635	9.04
221.51594	4380.6698	706.2	222.949	318.56	44.635	9.04
221.51942	3007.3332	706.2	222.949	318.56	44.635	9.04
221.52289	3445.0496	706.2	222.949	318.56	44.635	9.04
221.52636	4363.5265	706.2	222.949	318.56	44.635	9.04
221.52983	3172.6712	706.2	222.949	318.56	44.635	9.04
221.5333	3581.1377	706.2	222.949	318.56	44.635	9.04
221.53678	4416.565	706.2	222.949	318.56	44.635	9.04
221.54025	3014.6261	706.2	222.949	318.56	44.635	9.04
221.54372	4499.2911	738.3	217.03	333.04	43.45	8.8
221.54719	5031.6587	738.3	217.03	333.04	43.45	8.8
221.55067	2947.8221	738.3	217.03	333.04	43.45	8.8
221.55414	3753.3802	738.3	217.03	333.04	43.45	8.8
221.55761	5640.5486	738.3	217.03	333.04	43.45	8.8
221.56108	3814.2455	738.3	217.03	333.04	43.45	8.8
221.56455	3264.7459	738.3	217.03	333.04	43.45	8.8
221.56803	5323.0978	738.3	217.03	333.04	43.45	8.8
221.5715	3864.1116	738.3	217.03	333.04	43.45	8.8
221.57497	2266.3736	738.3	217.03	333.04	43.45	8.8
221.57844	3563.2766	738.3	217.03	333.04	43.45	8.8
221.58192	3041.6689	738.3	217.03	333.04	43.45	8.8
