#.t	temp
#d	degC
85.0	10.606581642512058
86.0	10.864355851569982
87.0	10.990342386033024
88.0	11.025912190082643
89.0	11.023882836587873
90.0	10.98839961575412
91.0	11.001881656804748
92.0	11.033098377281943
93.0	11.097770297029612
94.0	11.163362840466846
95.0	11.264810061601654
96.0	11.380020095693837
97.0	11.364309374999984
98.0	11.628280117531865
99.0	11.751743202416845
100.0	11.134847695390803
101.0	11.05664011799412
102.0	11.55096274509809
103.0	11.974051599587208
104.0	12.424877227722835
105.0	12.652782608695654
106.0	12.7906704428425
107.0	13.110856716417965
108.0	13.069416833667349
109.0	12.811633333333415
110.0	12.8954129158513
111.0	13.122640350877305
112.0	13.332777559055103
113.0	13.56477250726042
114.0	13.939679752066093
115.0	13.772945918367387
116.0	13.198503012048217
117.0	13.388226248775712
118.0	13.566547826086971
119.0	13.747393762183235
120.0	13.944540186915837
121.0	14.164802707930328
122.0	14.284656343656367
123.0	14.535499479708585
124.0	14.718085106383011
125.0	14.878529292929237
126.0	15.02937487437186
127.0	15.229893203883378
128.0	15.357815706806274
129.0	15.249378894472342
130.0	15.174728016359893
131.0	14.964633928571397
132.0	14.848544412607398
133.0	14.921416007905114
134.0	15.151979695431521
135.0	14.902576152304603
136.0	14.009431726907676
137.0	13.431580961727233
138.0	14.032978431372557
139.0	14.581555999999962
140.0	14.840547834843845
141.0	14.679586872586878
142.0	14.538250743310195
143.0	14.147017307692234
144.0	14.600109144542811
145.0	14.640710298363732
146.0	14.613037810945306
147.0	15.123144433299823
148.0	14.928275096525121
149.0	14.521688688688714
150.0	14.988201542912188
151.0	15.381666336633655
152.0	15.52036277302936
153.0	15.646943579766525
154.0	15.791133138969874
155.0	16.038158415841608
156.0	16.287878235858084
157.0	16.55652875882949
158.0	16.705934846989148
159.0	16.726292260692485
160.0	16.686551165146977
161.0	16.82222977941163
162.0	17.05419980411352
163.0	17.204556020942395
164.0	17.188383299798875
165.0	17.33290341463409
166.0	17.369222222222163
167.0	17.439596669750237
168.0	17.771010060362183
169.0	18.145237424547215
170.0	18.430864729458907
171.0	18.376181630547016
172.0	18.311477182539765
173.0	18.201497047244068
174.0	18.100457000000006
175.0	17.981625742574323
176.0	18.093562438544684
177.0	17.52048040201012
178.0	16.93362786259543
179.0	16.476466796875012
180.0	16.786192857142865
181.0	17.34179642502482
182.0	17.7839919678715
183.0	18.01511838306068
184.0	18.153693896713598
185.0	18.298530060120303
186.0	18.493793885601413
187.0	18.681422045680208
188.0	18.740810644831072
189.0	18.811056925996127
190.0	18.723981354268883
191.0	18.753541232227366
192.0	18.806682507583297
193.0	18.881322772277287
194.0	18.95948445336009
195.0	19.10659764474974
196.0	19.30282531894015
197.0	19.422486182190372
198.0	19.528552178318137
199.0	19.71541352657014
200.0	19.819888777555086
201.0	19.91429175050294
202.0	20.83030596850395
203.0	20.686613496932544
204.0	20.772398496240616
205.0	20.125539568345317
206.0	20.807728070175465
207.0	20.86159602649009
208.0	21.006677631578956
209.0	20.854171428571444
210.0	21.08154901960786
211.0	21.056118811881202
212.0	21.331180952380965
213.0	21.45381081081082
214.0	21.46602453987731
215.0	21.42270552147241
216.0	21.43686708860762
217.0	21.477145251396664
218.0	21.156412903225807
219.0	20.818575000000013
220.0	21.001788990825705
221.0	21.094000000000037
222.0	21.03694701986756
223.0	20.335128078817693
224.0	20.35847445255475
225.0	20.604976190476172
226.0	20.72551886792453
227.0	20.515578947368418
228.0	21.034830985915505
229.0	20.9901308411215
230.0	20.863904761904763
231.0	20.693484472049708
232.0	20.894207207207227
233.0	20.953763513513525
234.0	21.001224137931054
235.0	21.040246575342465
236.0	20.824573770491813
237.0	20.240055865921768
238.0	20.49676666666668
239.0	20.72755737704917
240.0	20.814273504273526
241.0	20.82428205128204
242.0	20.815620253164578
243.0	20.651019108280273
244.0	20.528622047244102
245.0	20.6161524663677
246.0	20.7098383233533
247.0	20.850727272727287
248.0	21.04340366972479
249.0	21.00670769230771
250.0	19.274788194444437
251.0	18.369930635838163
252.0	16.850822629969418
253.0	16.752024734982328
254.0	17.880039215686278
255.0	18.459651515151513
256.0	18.66438405797101
257.0	18.504171428571425
258.0	18.460866242038225
259.0	18.344253968253966
260.0	17.787605633802816
261.0	18.59227731092437
262.0	18.787427083333327
263.0	18.9101338582677
264.0	19.050074829931948
265.0	19.215058479532157
266.0	19.3479268292683
267.0	19.394544776119407
268.0	19.441058394160557
269.0	19.28736619718314
270.0	19.161191780821877
271.0	18.9610649350649
272.0	18.80748484848483
273.0	18.847563636363645
274.0	18.7634972677596
275.0	18.639197969543165
276.0	18.06642372881355
277.0	17.789042253521117
278.0	18.136459999999996
279.0	18.441333333333336
280.0	18.667822580645176
281.0	18.734487999999985
282.0	18.03339130434784
283.0	17.716391089108917
284.0	17.12062676056339
285.0	14.674830287206257
286.0	14.044536082474222
287.0	15.221156250000009
288.0	15.698215517241376
289.0	16.14241085271317
290.0	16.433954545454537
291.0	16.83900806451613
292.0	17.238852348993284
293.0	17.40590909090909
294.0	17.562899999999996
295.0	16.91045754716982
296.0	16.87193137254901
297.0	17.17942975206612
298.0	17.61884347826087
299.0	17.637259259259235
300.0	16.901797927461153
301.0	16.29203144654087
302.0	16.685585365853658
303.0	16.905993710691806
304.0	17.109859550561804
305.0	15.237028653295123
306.0	14.756993827160496
307.0	14.585326829268276
308.0	14.205914062500007
309.0	14.367369230769244
310.0	14.461283582089566
311.0	14.268200000000013
312.0	13.907416666666657
313.0	14.015476470588247
314.0	13.803358620689645
315.0	14.04466467065869
316.0	14.83639610389609
317.0	15.116357723577233
318.0	14.094008264462808
319.0	14.223057377049193
320.0	14.644188405797104
321.0	14.913857142857152
322.0	15.052666666666676
323.0	15.071577235772363
324.0	14.99128695652175
325.0	14.723635416666655
326.0	14.784635135135149
327.0	14.820619834710769
328.0	14.82586666666669
329.0	14.834824324324343
330.0	14.89898591549295
331.0	14.976633027522944
332.0	14.800614634146351
333.0	13.81030370370371
334.0	13.672804687500006
335.0	14.072417391304356
336.0	14.222745762711902
337.0	14.283106194690275
338.0	14.239080645161314
339.0	13.490055865921779
340.0	12.979017543859635
341.0	13.134864077669894
342.0	13.31893693693694
343.0	13.453963414634156
